,links
9587,https://www.swiggy.com/bangalore/om-made-cafe-koramangala-5th-block-koramangala
9588,https://www.swiggy.com/bangalore/art-of-delight-5th-block-koramangala
9589,https://www.swiggy.com/bangalore/happy-eat-sarjapur-disabled
9590,https://www.swiggy.com/bangalore/goli-soda-koramangala
9591,https://www.swiggy.com/bangalore/meenu-oota-da-maane-koramangala-koramangala
9592,https://www.swiggy.com/bangalore/lazeez-koramangala
9593,https://www.swiggy.com/bangalore/haus-of-burgers-someshwara-swamy-temple-koramangala
9594,https://www.swiggy.com/bangalore/new-udupi-grand-koramangala-koramangala
9595,https://www.swiggy.com/bangalore/attic-lounge-koramangala
9596,https://www.swiggy.com/bangalore/aalishan-restaurant-caterer-7th-block-koramangala
9597,https://www.swiggy.com/bangalore/birinz-koramangala-koramangala
9598,https://www.swiggy.com/bangalore/the-marash-koramangala-koramangala
9599,https://www.swiggy.com/bangalore/frozen-bottle-koramangala-koramangala
9600,https://www.swiggy.com/bangalore/eatwell-restaurant-sarjapur-disabled
9601,https://www.swiggy.com/bangalore/sukh-sagar-koramangala-5th-block-koramangala
9602,https://www.swiggy.com/bangalore/pathan-saheb-koramangala
9603,https://www.swiggy.com/bangalore/sonar-bangla-koramangala-koramangala
9604,https://www.swiggy.com/bangalore/cream-stone-koramangala-koramangala
9605,https://www.swiggy.com/bangalore/gelato-italiano-opposte-to-goli-wada-pav-koramangala
9606,https://www.swiggy.com/bangalore/koshe-kosha-koramangala-koramangala
9607,https://www.swiggy.com/bangalore/the-wok-shop-koramangala-1st-block-koramangala
9608,https://www.swiggy.com/bangalore/taj-darbar-rame-eat-street-koramangala
9609,https://www.swiggy.com/bangalore/party-by-the-beer-cafe-80-feet-road-koramangala
9610,https://www.swiggy.com/bangalore/hakka-chinese-restaurant-koramangala-koramangala
9611,https://www.swiggy.com/bangalore/harrys-bar-cafe-kormangala-koramangala
9612,https://www.swiggy.com/bangalore/go-italia-4th-block-koramangala
9613,https://www.swiggy.com/bangalore/hanoi-4th-block-koramangala
9614,https://www.swiggy.com/bangalore/dubey-pan-bhandra-koramangala-koramangala
9615,https://www.swiggy.com/bangalore/entropy-cafe-koramangala-koramangala
9616,https://www.swiggy.com/bangalore/belgian-waffle-factory-koramangala-koramangala
9617,https://www.swiggy.com/bangalore/la-pinoz-pizza-koramangala-koramangala
9618,https://www.swiggy.com/bangalore/khawa-karpo-koramangala-5th-block-koramangala
9619,https://www.swiggy.com/bangalore/cookie-man-the-forum-mallno-21-hosur-rd-koramangala
9620,https://www.swiggy.com/bangalore/delicious-demons-koramangala-koramangala
9621,https://www.swiggy.com/bangalore/rolls-on-wheels-1st-block-koramangala
9622,https://www.swiggy.com/bangalore/cafe-terra-80-feet-road-koramangala
9623,https://www.swiggy.com/bangalore/vasudev-mini-adigas-chicka-laxmi-layout-koramangala
9624,https://www.swiggy.com/bangalore/goli-vada-pav-koramangala
9625,https://www.swiggy.com/bangalore/refresh-juice-junction-koramangala-1st-block-koramangala
9626,https://www.swiggy.com/bangalore/jhasaa-koramangala-1st-block-koramangala
9627,https://www.swiggy.com/bangalore/zippy-koramangala-koramangala
9628,https://www.swiggy.com/bangalore/pingara-koramangala-1st-block-koramangala
9629,https://www.swiggy.com/bangalore/donne-biriyani-house-koramangala
9630,https://www.swiggy.com/bangalore/bistro-claytopia-koramangala-koramangala
9631,https://www.swiggy.com/bangalore/imperial-restaurant-koramangala-6th-block-koramangala
9632,https://www.swiggy.com/bangalore/pappu-chaiwalla-koramangala
9633,https://www.swiggy.com/bangalore/beef-hub-koramangala
9634,https://www.swiggy.com/bangalore/bliss-chocolates-hosur-road-koramangala
9635,https://www.swiggy.com/bangalore/lakeview-milk-bar-koramangala
9636,https://www.swiggy.com/bangalore/sweet-chariot-koramangala1-koramangala
9637,https://www.swiggy.com/bangalore/world-in-a-bowl-koramangala-7th-block-1st-floor-koramangala
